chrm	TF	order	fold_idx	start_time	stop_time	time_elapsed	AOC-ROC	AOC-PR	memory_used (MB)
chr4	CTCF	0	0/5	14:06:42.568017	14:07:00.460257	17.892	0.73	0.036	16.343
chr4	CTCF	0	1/5	14:07:01.073724	14:07:19.878358	17.434	0.735	0.035	15.899
chr4	CTCF	0	2/5	14:07:20.486575	14:07:39.597176	17.601	0.711	0.026	15.788
chr4	CTCF	0	3/5	14:07:40.229658	14:07:57.498773	17.269	0.726	0.032	15.751
chr4	CTCF	0	4/5	14:07:58.071763	14:08:17.308405	17.75	0.713	0.028	15.796
chr4	CTCF	1	0/5	14:08:19.121394	14:08:40.504851	21.383	0.741	0.039	16.16
chr4	CTCF	1	1/5	14:08:41.126875	14:09:04.377033	21.602	0.743	0.041	15.898
chr4	CTCF	1	2/5	14:09:04.970278	14:09:28.722974	21.805	0.72	0.031	15.81
chr4	CTCF	1	3/5	14:09:29.313671	14:09:50.320108	21.006	0.743	0.036	15.81
chr4	CTCF	1	4/5	14:09:50.923946	14:10:13.488299	20.766	0.727	0.032	15.809
chr4	CTCF	2	0/5	14:10:15.139495	14:10:39.662212	22.145	0.745	0.04	16.163
chr4	CTCF	2	1/5	14:10:40.244638	14:11:05.457342	23.139	0.747	0.042	15.9
chr4	CTCF	2	2/5	14:11:06.288916	14:11:37.040743	29.241	0.722	0.032	15.809
chr4	CTCF	2	3/5	14:11:37.827464	14:12:07.927269	30.1	0.748	0.037	15.81
chr4	CTCF	2	4/5	14:12:08.728350	14:12:41.410633	30.854	0.73	0.034	15.811
chr4	CTCF	3	0/5	14:12:45.689231	14:13:14.965922	29.277	0.752	0.04	16.164
chr4	CTCF	3	1/5	14:13:15.628818	14:13:40.949850	23.48	0.752	0.041	15.903
chr4	CTCF	3	2/5	14:13:41.573546	14:14:06.229910	22.898	0.729	0.032	15.815
chr4	CTCF	3	3/5	14:14:06.861589	14:14:32.467536	23.715	0.755	0.037	15.816
chr4	CTCF	3	4/5	14:14:33.050275	14:14:55.167941	22.118	0.732	0.033	15.815
chr4	CTCF	4	0/5	14:14:56.953426	14:15:21.257990	22.509	0.76	0.041	16.19
chr4	CTCF	4	1/5	14:15:21.854744	14:15:46.510901	22.892	0.754	0.043	15.922
chr4	CTCF	4	2/5	14:15:47.110211	14:16:13.101409	24.129	0.735	0.032	15.833
chr4	CTCF	4	3/5	14:16:13.742840	14:16:37.846253	24.103	0.762	0.037	15.832
chr4	CTCF	4	4/5	14:16:38.496720	14:17:05.944830	25.617	0.735	0.033	15.832
chr4	CTCF	5	0/5	14:17:08.103277	14:17:34.595604	26.492	0.764	0.043	16.252
chr4	CTCF	5	1/5	14:17:35.301906	14:18:01.001832	25.7	0.752	0.044	15.993
chr4	CTCF	5	2/5	14:18:01.723136	14:18:28.419970	26.697	0.74	0.034	15.904
chr4	CTCF	5	3/5	14:18:29.083177	14:18:54.819343	25.736	0.772	0.039	15.902
chr4	CTCF	5	4/5	14:18:55.476774	14:19:21.818341	26.342	0.745	0.035	15.903
chr4	CTCF	6	0/5	14:19:23.927359	14:19:51.179216	27.252	0.748	0.042	16.54
chr4	CTCF	6	1/5	14:19:51.870989	14:20:19.972206	28.101	0.736	0.044	16.273
chr4	CTCF	6	2/5	14:20:20.671037	14:20:48.975773	28.305	0.73	0.035	16.184
chr4	CTCF	6	3/5	14:20:49.708586	14:21:19.851659	30.143	0.75	0.041	16.183
chr4	CTCF	6	4/5	14:21:20.566548	14:21:52.724534	32.158	0.739	0.037	16.184
chr4	CTCF	7	0/5	14:21:55.328033	14:22:31.553896	36.226	0.703	0.041	17.659
chr4	CTCF	7	1/5	14:22:32.261434	14:23:08.550536	36.289	0.701	0.036	17.399
chr4	CTCF	7	2/5	14:23:09.261956	14:23:47.270170	36.813	0.703	0.031	17.309
chr4	CTCF	7	3/5	14:23:48.034400	14:24:25.411491	37.377	0.723	0.038	17.309
chr4	CTCF	7	4/5	14:24:26.083302	14:25:02.920334	36.837	0.71	0.035	17.309
chr4	CTCF	8	0/5	14:25:05.084003	14:26:19.187823	71.377	0.712	0.044	22.163
chr4	CTCF	8	1/5	14:26:19.828025	14:27:33.737439	70.514	0.699	0.032	21.897
chr4	CTCF	8	2/5	14:27:34.412059	14:28:50.548032	70.899	0.697	0.034	21.81
chr4	CTCF	8	3/5	14:28:51.228848	14:30:07.644959	73.159	0.713	0.037	21.809
chr4	CTCF	8	4/5	14:30:08.286897	14:31:26.160647	74.873	0.715	0.044	21.808
chr4	CTCF	9	0/5	14:31:28.271889	14:38:35.368782	406.981	0.715	0.04	45.266
chr4	CTCF	9	1/5	14:38:36.001940	14:45:27.084784	388.549	0.715	0.035	45.256
chr4	CTCF	9	2/5	14:45:27.714884	14:52:56.819001	424.082	0.704	0.034	45.166
chr4	CTCF	9	3/5	14:52:57.488525	15:00:28.157434	425.214	0.706	0.038	45.166
chr4	CTCF	9	4/5	15:00:28.785284	15:08:02.298962	428.245	0.718	0.036	45.166
